"","FK_STATION","FK_RANDOM_SAMPLE_LOCATION","COLLECTION_DATE","SAMPLE_TYPE","MATRIX","pH_Field","pH_Field_VQ","Specific_Conductance_Field","Specific_Conductance_Field_VQ","Oxygen_Dissolved_Field","Oxygen_Dissolved_Field_VQ","Oxygen_Dissolved_Percent_Saturation","Oxygen_Dissolved_Percent_Saturation_VQ","Water_Temperature","Water_Temperature_VQ","Depth_Bottom_of_Waterbody_Sample_Site","Depth_Bottom_of_Waterbody_Sample_Site_VQ","Transparency_Secchi_Depth","Transparency_Secchi_Depth_VQ","Sample_Depth","Sample_Depth_VQ","Water_Sample_Collection_Device","Water_Sample_Collection_Device_VQ","Water_Level","Water_Level_VQ","Stream_Flow_Qualitative","Stream_Flow_Qualitative_VQ","Iron_Total","Iron_Total_VQ","Magnesium_Total","Magnesium_Total_VQ","Potassium_Total","Potassium_Total_VQ","Thallium_Total","Thallium_Total_VQ","Calcium_Total","Calcium_Total_VQ","Arsenic_Total","Arsenic_Total_VQ","Silver_Total","Silver_Total_VQ","Chromium_Total","Chromium_Total_VQ","Zinc_Total","Zinc_Total_VQ","Molybdenum_total","Molybdenum_total_VQ","Barium_Total","Barium_Total_VQ","Selenium_Total","Selenium_Total_VQ","Copper_Total","Copper_Total_VQ","Cadmium_Total","Cadmium_Total_VQ","Nickel_Total","Nickel_Total_VQ","Hardness_calculated_as_CACO3","Hardness_calculated_as_CACO3_VQ","Sodium_Total","Sodium_Total_VQ","Lead_Total","Lead_Total_VQ","Aluminum_Total","Aluminum_Total_VQ","Beryllium_Total","Beryllium_Total_VQ","Manganese_Total","Manganese_Total_VQ","Antimony_Total","Antimony_Total_VQ","NitrateNitrite_Total_as_N","NitrateNitrite_Total_as_N_VQ","Organic_Carbon_Total","Organic_Carbon_Total_VQ","Sulfate_Total","Sulfate_Total_VQ","Total_Dissolved_Solids_TDS_measured","Total_Dissolved_Solids_TDS_measured_VQ","Ammonia_Total_as_N","Ammonia_Total_as_N_VQ","Alkalinity_Total_as_CaCO3","Alkalinity_Total_as_CaCO3_VQ","Chloride_Total","Chloride_Total_VQ","Total_Suspended_Solids_TSS","Total_Suspended_Solids_TSS_VQ","Specific_Conductance_Lab","Specific_Conductance_Lab_VQ","Kjeldahl_Nitrogen_Total_as_N","Kjeldahl_Nitrogen_Total_as_N_VQ","Color_true","Color_true_VQ","Turbidity_Lab","Turbidity_Lab_VQ","Fluoride_Total","Fluoride_Total_VQ","Phosphorus_Total_as_P","Phosphorus_Total_as_P_VQ","Pheophytin_A_Monochromatic","Pheophytin_A_Monochromatic_VQ","Chlorophyll_A_Monochromatic","Chlorophyll_A_Monochromatic_VQ","Chlorophyll_A_Uncorrected_Trichromatic","Chlorophyll_A_Uncorrected_Trichromatic_VQ","Escherichia_Coli_Quanti_Tray","Escherichia_Coli_Quanti_Tray_VQ","Enterococci_Quanti_Tray","Enterococci_Quanti_Tray_VQ","Salinity_ppt","Salinity_ppt_VQ","Weather","Weather_VQ"
"83",57141,"Z3-CN-14004",2020-01-13 13:27:00,"PRIMARY","WATER",7.48,NA,2403,NA,4.59,NA,54.9,NA,23.987,NA,0.9,NA,0.9,"S",0.3,NA,NA,NA,NA,NA,NA,NA,190,NA,53.1,NA,8.3,NA,0.1,"U",130,NA,0.58,NA,0.01,"U",0.4,"U",5,"U",0.83,NA,61.4,NA,0.2,"U",3.06,"G",0.02,"U",1,"I",544,NA,276,NA,0.2,"U",85,NA,0.01,"U",23.7,NA,0.05,"U",0.14,NA,8.1,NA,130,NA,1340,NA,0.074,NA,200,NA,560,NA,4,"I",2360,NA,0.63,NA,29,"A",2.3,NA,0.5,NA,0.065,NA,1.6,"I",2.3,"I",3.3,NA,74,"Q",NA,NA,1.23,NA,0,NA
"84",57146,"Z3-CN-14011",2020-01-14 09:18:00,"PRIMARY","WATER",7.26,NA,1285,NA,5.64,NA,65.2,NA,22.342,NA,0.75,NA,0.3,NA,0.3,NA,NA,NA,NA,NA,NA,NA,2300,NA,16.3,NA,3.4,NA,0.1,"U",153,NA,5.01,NA,0.01,"U",1.2,"I",5,"U",9.81,NA,46.2,NA,4.38,NA,1.14,NA,0.025,"I",8.5,NA,449,NA,92.8,NA,0.77,NA,600,NA,0.057,NA,31.6,NA,0.66,NA,0.32,NA,15,NA,98,NA,732,NA,0.51,NA,260,NA,200,NA,16,NA,1280,NA,1.4,NA,45,"A",22,NA,0.24,NA,0.24,NA,1.8,"I",6.9,NA,8.2,NA,117.8,"Q",NA,NA,0.64,NA,1,NA
"85",57149,"Z3-CN-14015",2020-01-14 10:18:00,"PRIMARY","WATER",7.22,NA,1717,NA,4.13,NA,47.4,NA,21.83,NA,0.98,NA,0.4,NA,0.3,NA,NA,NA,NA,NA,NA,NA,1100,NA,29.3,NA,5.8,NA,0.1,"U",85.1,NA,1.19,NA,0.01,"U",0.66,"I",9.8,"I",3.89,NA,62.7,NA,0.2,"U",0.68,"I",0.02,"U",0.96,"I",333,NA,216,NA,1.17,NA,238,NA,0.022,"I",17.9,NA,0.13,"I",0.16,NA,25,NA,71,NA,920,NA,0.12,NA,140,NA,410,NA,9,"I",1720,NA,1.2,NA,180,NA,7,NA,0.17,NA,0.18,NA,1.8,"U",2.5,"I",3.2,"I",108.6,"Q",NA,NA,0.87,NA,1,NA
"86",57152,"Z3-CN-14021",2020-01-21 10:19:00,"PRIMARY","WATER",7.46,NA,365.4,NA,9.06,NA,90.9,NA,15.471,NA,2.1,NA,0.35,NA,0.32,NA,NA,NA,NA,NA,NA,NA,30,"U",13,NA,7,NA,0.1,"U",39.5,NA,2.37,NA,0.01,"U",0.4,"U",5,"U",10.2,NA,31,NA,0.2,"U",0.4,"U",0.02,"U",0.5,"U",152,NA,16.4,NA,0.36,"I",87,NA,0.01,"U",19.1,NA,0.22,NA,0.004,"I",19,NA,12,NA,213,NA,0.011,NA,128,NA,31,NA,44,NA,373,NA,2.7,NA,19,NA,13,"A",0.23,NA,0.067,NA,4.5,"U",32,NA,34,NA,28.8,"Q",NA,NA,NA,NA,0,NA
"87",57152,"Z3-CN-14021",2020-01-21 10:21:00,"BOTTOM","WATER",8.16,NA,366.4,NA,8.85,NA,88.8,NA,15.495,NA,2.1,NA,0.35,NA,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"88",57150,"Z3-CN-14017",2020-01-21 11:03:00,"PRIMARY","WATER",6.62,NA,395.2,NA,8.27,NA,80.7,NA,14.211,NA,0.15,NA,0.15,"S",0.08,NA,NA,NA,NA,NA,NA,NA,380,NA,9.39,NA,3,NA,0.1,"U",32.3,NA,0.28,NA,0.01,"U",0.4,"U",13,"I",0.36,"I",38.3,NA,0.22,"I",0.42,"I",0.114,NA,0.5,"U",119,NA,25.6,NA,0.56,NA,110,NA,0.021,"I",17.9,NA,0.19,"I",2.8,NA,3,NA,60,NA,213,NA,0.089,NA,41,"A",47,NA,2,"U",398,"A",0.29,NA,11,NA,1.6,NA,0.035,"U",0.013,NA,0.9,"U",0.82,"U",0.6,"U",1413.6,"Q",NA,NA,0.19,NA,0,NA
"89",57153,"Z3-CN-14022",2020-01-21 11:07:00,"PRIMARY","WATER",7.43,NA,387.3,NA,8.77,NA,88.6,NA,15.782,NA,1.8,NA,0.6,NA,0.31,NA,NA,NA,NA,NA,NA,NA,69,"I",13.4,NA,7.2,NA,0.1,"U",40.1,NA,2.03,NA,0.01,"U",0.74,"I",5,"U",8.83,NA,30.8,NA,0.2,"U",0.4,"U",0.02,"U",0.5,"U",155,NA,16.7,NA,0.22,"I",1050,NA,0.01,"U",21.6,NA,0.22,NA,0.004,"U",15,NA,44,NA,230,NA,0.014,NA,100,NA,32,NA,36,NA,393,NA,1.9,NA,10,NA,7.4,NA,0.16,NA,0.041,NA,4.5,"U",27,NA,28,NA,16.1,"Q",NA,NA,NA,NA,0,NA
"90",57153,"Z3-CN-14022",2020-01-21 11:09:00,"BOTTOM","WATER",7.26,NA,386.6,NA,8.69,NA,87.7,NA,15.767,NA,1.8,NA,0.6,NA,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"91",0,NA,2020-01-21 11:20:00,"FIELD BLANK","WATER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"U",0.04,"U",0.3,"U",0.1,"U",0.075,"U",0.05,"U",0.01,"U",0.4,"U",5,"U",0.15,"U",1,"U",0.2,"U",0.4,"U",0.02,"U",0.5,"U",0.35,"U",0.5,"U",0.2,"U",5,"U",0.01,"U",1,"U",0.05,"U",0.004,"U",0.5,"U",0.2,"U",15,"U",0.002,"U",0.65,"U",0.2,"U",2,"U",2,"U",0.08,"U",2.5,"U",0.1,"U",0.035,"U",0.002,"U",NA,NA,NA,NA,NA,NA,1,"UQ",NA,NA,NA,NA,0,NA
"92",57140,"Z3-CN-14003",2020-01-21 14:04:00,"PRIMARY","WATER",5.8,NA,295.1,NA,3.82,NA,36.1,NA,12.685,NA,0.36,NA,0.2,NA,0.18,NA,NA,NA,NA,NA,NA,NA,2590,NA,8.32,NA,0.3,"U",0.1,"U",30.8,NA,0.88,NA,0.01,"U",1.3,"I",5.7,"I",0.21,"I",37.7,NA,0.27,"I",0.4,"U",0.02,"U",1.2,"I",111,NA,17.9,NA,0.67,NA,736,NA,0.076,NA,33,NA,0.078,"I",0.005,"I",57,NA,46,NA,284,NA,0.038,NA,21,NA,38,NA,4,"I",292,NA,2.4,NA,550,NA,4.9,NA,0.059,"I",0.061,NA,2.2,"U",2.1,"U",1.5,"U",68.9,"Q",NA,NA,0.14,NA,0,NA
"93",0,NA,2020-01-21 14:20:00,"FIELD BLANK","WATER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"U",0.04,"U",0.3,"U",0.1,"U",0.075,"U",0.05,"U",0.01,"U",0.4,"U",5,"U",0.15,"U",1,"U",0.2,"U",0.4,"U",0.02,"U",0.5,"U",0.35,"U",0.5,"U",0.2,"U",5,"U",0.01,"U",1,"U",0.05,"U",0.004,"U",0.5,"U",0.2,"U",15,"U",0.002,"U",0.65,"U",0.2,"U",2,"U",2,"U",0.08,"U",2.5,"U",0.1,"U",0.035,"U",0.002,"U",NA,NA,NA,NA,NA,NA,1,"UQ",NA,NA,NA,NA,NA,NA
"94",57143,"Z3-CN-14007",2020-01-22 10:21:00,"PRIMARY","WATER",7.59,NA,2271,NA,10.02,NA,89.3,NA,9.92,NA,0.2,NA,0.2,"S",0.1,NA,NA,NA,NA,NA,NA,NA,420,NA,61.8,NA,5.9,NA,0.1,"U",142,NA,0.83,NA,0.01,"U",0.49,"I",5,"U",0.39,"I",35.8,NA,0.2,"U",1.24,NA,0.032,"I",0.5,"U",609,NA,229,NA,0.2,"U",101,NA,0.017,"I",29,NA,0.062,"I",0.18,NA,15,NA,160,NA,1320,NA,0.01,NA,148,NA,560,NA,8,"I",2290,NA,0.71,NA,100,NA,4,"A",0.35,NA,0.28,NA,1.5,"I",5.4,NA,6.6,NA,770.1,"Q",NA,NA,1.17,NA,2,NA
"95",57151,"Z3-CN-14018",2020-01-22 11:21:00,"PRIMARY","WATER",5.09,NA,93.9,NA,9.92,NA,88.9,NA,10.452,NA,0.3,NA,0.3,"S",0.15,NA,NA,NA,NA,NA,NA,NA,780,NA,1.47,NA,0.3,"U",0.1,"U",6.75,NA,0.39,NA,0.01,"U",0.59,"I",5,"U",0.15,"U",11.2,NA,0.2,"U",0.4,"U",0.02,"U",0.62,"I",22.9,NA,9.3,NA,0.4,"I",459,NA,0.036,"I",11.3,NA,0.05,"U",0.015,NA,35,NA,2.1,NA,110,NA,0.027,NA,1.4,"I",19,NA,2,"U",93,NA,1.2,NA,350,NA,1.8,NA,0.035,"U",0.022,NA,0.98,"U",0.89,"U",0.65,"U",127.4,"Q",NA,NA,0.04,NA,2,NA
"96",57142,"Z3-CN-14005",2020-01-27 10:13:00,"PRIMARY","WATER",6.14,NA,175.8,NA,6.21,NA,58.5,NA,12.646,NA,0.2,NA,0.2,"S",0.1,NA,NA,NA,NA,NA,NA,NA,1040,NA,4.22,NA,5.7,NA,0.1,"U",11.8,NA,0.42,NA,0.01,"U",0.98,"I",8,"I",0.2,"I",25.6,NA,0.23,"I",0.75,"I",0.02,"U",0.97,"I",46.7,NA,14.5,NA,0.32,"I",314,NA,0.051,NA,20.6,NA,0.061,"I",0.22,NA,23,NA,16,NA,151,NA,0.029,NA,22,NA,25,NA,3,"I",176,NA,0.81,NA,220,NA,4.2,NA,0.047,"I",0.21,NA,1.3,"U",2,"I",2.6,NA,686.7,"Q",NA,NA,0.08,NA,2,NA
"97",57148,"Z3-CN-14014",2020-01-27 10:54:00,"PRIMARY","WATER",6.82,NA,305.7,NA,7.14,NA,72.7,NA,16.239,NA,5.5,NA,1.55,NA,0.3,NA,NA,NA,NA,NA,NA,NA,30,"U",8.87,NA,5.6,NA,0.1,"U",34.3,NA,1.24,NA,0.01,"U",0.4,"U",5,"U",2.5,NA,19.8,NA,0.2,"U",0.4,"U",0.02,"U",0.5,"U",122,NA,14.1,NA,0.2,"U",9.7,"I",0.01,"U",13.9,NA,0.071,"I",0.036,NA,14,NA,14,NA,198,NA,0.047,NA,98,NA,27,NA,4,"I",304,NA,0.97,NA,37,"A",3.1,NA,0.15,NA,0.02,NA,1.5,"U",10,NA,12,NA,3.6,"AQ",NA,NA,0.15,NA,2,NA
"98",57148,"Z3-CN-14014",2020-01-27 10:56:00,"BOTTOM","WATER",6.72,NA,307.9,NA,6.13,NA,62,NA,15.87,NA,5.5,NA,1.55,NA,5.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,2,NA
"99",57139,"Z3-CN-14001",2020-01-27 12:13:00,"PRIMARY","WATER",7.01,NA,380.3,NA,8.7,NA,87.9,NA,15.809,NA,0.86,NA,0.86,"S",0.3,NA,NA,NA,NA,NA,NA,NA,370,NA,5.55,NA,2.5,NA,0.1,"U",50.5,NA,0.7,NA,0.01,"U",0.41,"I",5,"U",0.15,"U",44.3,NA,0.2,"U",1.91,NA,0.02,"U",0.59,"I",149,NA,19,NA,0.2,"U",207,NA,0.044,NA,15.3,NA,0.072,"I",0.33,NA,13,NA,43,NA,250,NA,0.035,NA,91,NA,36,NA,2,"U",383,NA,0.51,NA,57,NA,2.3,NA,0.13,NA,0.097,NA,1.4,"I",1.1,"I",2,NA,387.3,"Q",NA,NA,0.18,NA,2,NA
"100",57145,"Z3-CN-14010",2020-01-30 11:54:00,"PRIMARY","WATER",6.14,NA,328.4,NA,0.65,NA,6.3,NA,14.184,NA,1.3,NA,0.4,NA,0.31,NA,NA,NA,NA,NA,NA,NA,90,"I",9.54,NA,5.1,NA,0.1,"U",33.1,NA,1,NA,0.01,"U",0.4,"U",5,"U",0.92,NA,22.6,NA,0.2,"U",0.4,"U",0.02,"U",0.5,"U",122,NA,15.2,NA,0.22,"I",136,NA,0.01,"U",12.9,NA,0.05,"U",0.006,"I",14,NA,10,NA,178,"Q",0.063,NA,106,NA,30,NA,21,NA,321,NA,1.4,NA,32,"A",7.4,"A",0.17,NA,0.058,NA,6.4,NA,5.7,NA,10,NA,27.5,"Q",NA,NA,NA,NA,2,NA
